Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02 00:00:00+00:00,302.2085876,324.8699951,324.8900146,322.5299988,323.5400085,59151200
2020-01-03 00:00:00+00:00,299.9201355,322.4100037,323.6400146,321.1000061,321.1600037,77709700
2020-01-06 00:00:00+00:00,301.0644531,323.6400146,323.730011,320.3599854,320.4899902,55653900
2020-01-07 00:00:00+00:00,300.2178955,322.730011,323.5400085,322.2399902,323.019989,40496400
2020-01-08 00:00:00+00:00,301.8179932,324.4500122,325.7799988,322.6700134,322.9400024,68296000
2020-01-09 00:00:00+00:00,303.8644409,326.6499939,326.730011,325.519989,326.1600037,48473300
2020-01-10 00:00:00+00:00,302.9899902,325.7099915,327.4599915,325.2000122,327.2900085,53029300
2020-01-13 00:00:00+00:00,305.0737915,327.9500122,327.9599915,325.9200134,326.3900146,47086800
2020-01-14 00:00:00+00:00,304.6087341,327.4500122,328.6199951,326.8399963,327.4700012,62832800
2020-01-15 00:00:00+00:00,305.2970276,328.1900024,329.019989,327.2600098,327.3500061,72056600
2020-01-16 00:00:00+00:00,307.8365784,330.9200134,330.9200134,329.4500122,329.7000122,54050300
2020-01-17 00:00:00+00:00,308.7947388,331.9500122,332.1799927,330.8500061,331.7000122,95846000
2020-01-21 00:00:00+00:00,308.1901245,331.2999878,332.1799927,330.8200073,330.8999939,77742400
2020-01-22 00:00:00+00:00,308.2273865,331.3399963,332.9500122,331.1700134,332.2399902,48914900
2020-01-23 00:00:00+00:00,308.58078,331.7200012,332.1700134,329.4100037,330.6300049,51963000
2020-01-24 00:00:00+00:00,305.8365479,328.769989,332.5299988,327.3599854,332.4400024,87578400
2020-01-27 00:00:00+00:00,300.9342346,323.5,325.1199951,322.6600037,323.0299988,84062500
2020-01-28 00:00:00+00:00,304.087738,326.8900146,327.8500061,323.6000061,325.0599976,63834000
2020-01-29 00:00:00+00:00,303.8365479,326.6199951,328.6300049,326.3999939,328.3800049,53888900
2020-01-30 00:00:00+00:00,304.8226624,327.6799927,327.9100037,323.5400085,324.3599854,75491800
2020-01-31 00:00:00+00:00,299.2876282,321.730011,327.1700134,320.730011,327,113845600
2020-02-03 00:00:00+00:00,301.5109558,324.1199951,326.1600037,323.2200012,323.3500061,69083000
2020-02-04 00:00:00+00:00,306.1063232,329.0599976,330.0100098,327.7200012,328.0700073,62573200
2020-02-05 00:00:00+00:00,309.6412659,332.8599854,333.0899963,330.6700134,332.269989,65951100
2020-02-06 00:00:00+00:00,310.6832275,333.980011,334.1900024,332.7999878,333.9100037,50359700
2020-02-07 00:00:00+00:00,309.0273438,332.2000122,333.9899902,331.6000061,332.8200073,64139400
2020-02-10 00:00:00+00:00,311.3343506,334.6799927,334.75,331.1900024,331.230011,42070000
2020-02-11 00:00:00+00:00,311.8739319,335.2600098,337.019989,334.6799927,336.1600037,54864500
2020-02-12 00:00:00+00:00,313.8831482,337.4200134,337.6499939,336.4299927,336.8299866,43992700
2020-02-13 00:00:00+00:00,313.5483093,337.0599976,338.1199951,335.5599976,335.8599854,54501900
2020-02-14 00:00:00+00:00,314.0506592,337.6000061,337.730011,336.2000122,337.5100098,64582200
2020-02-18 00:00:00+00:00,313.2413635,336.730011,337.6700134,335.2099915,336.5100098,57226200
2020-02-19 00:00:00+00:00,314.7390442,338.3399963,339.0799866,337.480011,337.7900085,48814700
2020-02-20 00:00:00+00:00,313.4460144,336.9500122,338.6400146,333.6799927,337.7399902,74163400
2020-02-21 00:00:00+00:00,310.2180176,333.480011,335.8099976,332.5799866,335.4700012,113788200
2020-02-24 00:00:00+00:00,299.9295349,322.4200134,333.5599976,321.2399902,323.1400146,161088400
2020-02-25 00:00:00+00:00,290.8409729,312.6499939,324.6099854,311.6900024,323.9400024,218913200
2020-02-26 00:00:00+00:00,289.7713013,311.5,318.1099854,310.7000122,314.1799927,194773800
2020-02-27 00:00:00+00:00,276.7571716,297.5100098,311.5599976,297.5100098,305.4599915,284353500
2020-02-28 00:00:00+00:00,275.5943298,296.2600098,297.8900146,285.5400085,288.7000122,384975800
2020-03-02 00:00:00+00:00,287.5293579,309.0899963,309.1600037,294.4599915,298.2099915,238703600
2020-03-03 00:00:00+00:00,279.2966309,300.2399902,313.8399963,297.5700073,309.5,300139100
2020-03-04 00:00:00+00:00,291.0363464,312.8599854,313.1000061,303.3299866,306.1199951,176613400
2020-03-05 00:00:00+00:00,281.361908,302.4599915,308.4700012,300.0100098,304.980011,186366800
2020-03-06 00:00:00+00:00,276.7106018,297.4599915,298.7799988,290.230011,293.1499939,228667200
2020-03-09 00:00:00+00:00,255.1009827,274.230011,284.1900024,273.4500122,275.2999878,309417300
2020-03-10 00:00:00+00:00,268.301239,288.4200134,288.519989,273.5,284.6400146,276444100
2020-03-11 00:00:00+00:00,255.2219543,274.3599854,281.9400024,270.8800049,280.7000122,255316300
2020-03-12 00:00:00+00:00,230.8030548,248.1100006,266.6600037,247.6799927,256,392220700
2020-03-13 00:00:00+00:00,250.5335541,269.3200073,271.480011,248.5200043,263.0899963,329566100
2020-03-16 00:00:00+00:00,223.1192017,239.8500061,256.8999939,237.3600006,241.1799927,297240000
2020-03-17 00:00:00+00:00,235.1659088,252.8000031,256.1700134,237.0700073,245.0399933,262070500
2020-03-18 00:00:00+00:00,223.2587585,240,248.3699951,228.0200043,236.25,327597100
2020-03-19 00:00:00+00:00,223.7331848,240.5099945,247.3800049,232.2200012,239.25,289322000
2020-03-20 00:00:00+00:00,214.0915833,228.8000031,244.4700012,228.5,242.5299988,347158800
2020-03-23 00:00:00+00:00,208.6176453,222.9499969,229.6799927,218.2599945,228.1900024,326025200
2020-03-24 00:00:00+00:00,227.5190735,243.1499939,244.1000061,233.8000031,234.4199982,235494500
